,name,save_logs,save_predictions,save_models,zip_models,verbatim,permutation,repetition,learning_rate,weight_decay,net,feature,skip,datetime,split_percentage_train,split_percentage_val,split_percentage_test,loss_function_type,loss_function_nclasses,early_stopping_min,early_stopping_wait,hidden_size,hidden_layers,num_heads,dropout,batchnorm,residual,in_feats,out_feats,Rand-Index_All ,Mutual Information_All ,Variation of Information_All ,Rand-Index_Train,Mutual Information_Train,Variation of Information_Train,Rand-Index_Val,Mutual Information_Val,Variation of Information_Val,Rand-Index_Test,Mutual Information_Test,Variation of Information_Test,radius
45,opti_keywords-295,True,True,True,True,False,5,4,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 20:40:24,0.32,0.08,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.7726462307573582,0.7332985039992544,0.9745397598034509,0.9120510242330017,0.8991931171046726,0.3673887581639508,0.7561889436292637,0.7256405759679043,0.9434403897833259,0.7070358963853477,0.6685841433750793,1.2037961324711448,
46,opti_keywords-551,True,True,True,True,False,10,4,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 23:07:57,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.47100561561467014,0.4871642723736495,1.8063752026404143,1.0,1.0,0.0,0.44811320754716977,0.5099870208189435,1.1451331280990495,0.448310075519538,0.4678810606027255,1.8511543845362504,2.0
47,opti_keywords-58,True,True,True,True,False,1,5,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 18:28:36,0.32,0.08,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.749004519383541,0.7145292188038259,1.0458381121274778,0.9160106639122773,0.885175228751409,0.4133738439509571,0.7386317532056531,0.7216068429204732,0.9407278906953871,0.6656353171831036,0.6471189306657946,1.296785985551593,
48,opti_keywords-465,True,True,True,True,False,8,1,0.01,0.01,GCN_Net,keywords,False,2020-01-19 22:19:09,0.32,0.08,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.5941309927943296,0.5683321889698432,1.5049571253075984,0.671545552880809,0.6510395882648276,1.2152814413713489,0.6749688173931394,0.6341811869061232,1.2124607197056245,0.5444012833490699,0.527782144271988,1.637924033000292,
49,opti_keywords-364,True,True,True,True,False,7,2,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 21:21:17,0.04,0.01,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.5991264975188176,0.5557698131095902,1.613019259991181,1.0,1.0,0.0,0.5108779114410034,0.5932032012229398,0.9235330901786996,0.5755347370842914,0.5412603429647955,1.6644887596514653,
50,opti_keywords-172,True,True,True,True,False,3,3,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 19:34:50,0.32,0.08,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.7581143119149232,0.7215480419826177,1.0160551276669958,0.9477278093806117,0.9359554481671408,0.23121363338318712,0.7542720900139196,0.7523841135919793,0.8799441168582338,0.6697390231628795,0.6344454524612688,1.3250749294777369,
51,opti_keywords-79,True,True,True,True,False,2,2,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 18:39:00,0.08,0.02,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.5772264654955563,0.571886355262226,1.5776386714351625,0.9123776349926711,0.9082911086385096,0.3212037852503955,0.6583774320614332,0.7421774562453985,0.7668083097904974,0.5506781875512248,0.5647064134113141,1.6039546400461657,
52,opti_keywords-512,True,True,True,True,False,9,1,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 22:48:30,0.16,0.04,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.5671112884976698,0.5870186358256189,1.4598960961383973,0.8810372035832447,0.8834724782313043,0.4156284130767278,0.5369926155872254,0.578408222641146,1.287887793000217,0.5033741411956942,0.5300676078646391,1.6436104347421772,2.0
53,opti_keywords-498,True,True,True,True,False,9,2,0.01,0.01,GCN_Net,keywords,False,2020-01-19 22:36:28,0.08,0.02,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.5646973370357224,0.5700850691963426,1.5385933986536386,0.9423983962344171,0.9324573947294466,0.23561157567996904,0.7891204482811945,0.8237992094411086,0.5104544038748813,0.524814924919693,0.5370090805423202,1.642219738928484,
54,opti_keywords-211,True,True,True,True,False,4,1,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 19:55:32,0.16,0.04,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.6810181849941508,0.6577933070851206,1.2579631849517887,0.960059956864868,0.9464171439112763,0.1933492222386337,0.4830642229927125,0.5537516873914027,1.456752158986141,0.6428443646061925,0.6241448547621657,1.3771299149529748,
