,name,save_logs,save_predictions,save_models,zip_models,verbatim,permutation,repetition,learning_rate,weight_decay,net,feature,skip,datetime,split_percentage_train,split_percentage_val,split_percentage_test,loss_function_type,loss_function_nclasses,early_stopping_min,early_stopping_wait,hidden_size,hidden_layers,num_heads,dropout,batchnorm,residual,in_feats,out_feats,Rand-Index_All ,Mutual Information_All ,Variation of Information_All ,Rand-Index_Train,Mutual Information_Train,Variation of Information_Train,Rand-Index_Val,Mutual Information_Val,Variation of Information_Val,Rand-Index_Test,Mutual Information_Test,Variation of Information_Test,radius,sparsemax
483,hyper1-934,True,True,False,False,False,3,1,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-14 07:33:52,0.32,0.08,0.6,nll,all,50,30,100,2,1.0,0.2,True,False,1433,7,0.7694244788634966,0.7319841762616948,0.9790221899850402,0.900170333240406,0.8756285380239723,0.45024553652910626,0.8107974078666277,0.8040904684040946,0.6947238476278632,0.7035373351360562,0.6661059404045826,1.2108945097123285,,False
484,hyper1-809,True,True,False,False,False,3,1,0.01,0.01,GCN_Net,node_id,False,2020-01-14 06:41:01,0.32,0.08,0.6,nll,all,50,30,100,1,,0.0,True,,2708,7,0.5070453754325378,0.5054886528962927,1.8125325245960249,0.7410281607938827,0.7120650707654862,1.0400043432655832,0.4365154354931148,0.4738262294952043,1.8657229874294514,0.41194086439930855,0.43045073827092706,2.0764931227233223,,
485,hyper1-593,True,True,False,False,False,2,1,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-14 05:08:01,0.32,0.08,0.6,nll,all,50,30,50,3,1.0,0.0,False,True,1433,7,0.7743430922436632,0.7352434112518975,0.96821161788188,0.9725057268858627,0.9596674812429414,0.14525984835111627,0.7355608869283574,0.6856911092741116,1.0944158244836206,0.6805728249480064,0.6577209553037199,1.2508742054527269,,False
486,hyper1-769,True,True,False,False,False,3,1,0.01,0.0,GAT_Net_fast,keywords,False,2020-01-14 06:20:45,0.32,0.08,0.6,nll,all,50,30,100,2,1.0,0.0,False,True,1433,7,0.7171519842412963,0.6801027779311377,1.1740071649810786,0.8352187236662292,0.8193308444796961,0.6549054550187403,0.7587336957675543,0.7245840884660617,0.9777965610282391,0.6544292858997324,0.6174777679930504,1.3971722131275435,,False
487,hyper1-803,True,True,False,False,False,3,1,0.01,0.01,GCN_Net,node_id,False,2020-01-14 06:40:10,0.32,0.08,0.6,nll,all,50,30,50,1,,0.2,True,,2708,7,0.6434384688388067,0.597500384158124,1.4698291535481687,0.8826627081280948,0.8532013878762693,0.5295104852950643,0.5870369759377081,0.5668730338319787,1.5280083908100428,0.5396139044085616,0.5014932589082719,1.8123872217478834,,
488,hyper1-24,True,True,False,False,False,1,1,0.01,0.0,GCN_Net,keywords,False,2020-01-14 01:16:48,0.32,0.08,0.6,nll,all,50,30,100,1,,0.0,False,,1433,7,0.10158377027564758,0.22040847568047725,1.805462048914579,0.13104575504836669,0.30312600833664466,1.5801515742047747,0.1398672493605496,0.23513062986951652,1.6941864152632968,0.08447057675039393,0.18835552990102145,1.89828910766443,,
489,hyper1-189,True,True,False,False,False,1,1,0.01,0.01,GCN_Net,keywords,False,2020-01-14 02:22:28,0.32,0.08,0.6,nll,all,50,30,100,2,,0.0,True,,1433,7,0.46716421163478516,0.44985842771091966,1.976286000648981,0.6262380954666513,0.6118498533663487,1.3728803093006374,0.5344467588567692,0.4899357910787118,1.6746813107317249,0.3826578742869748,0.38112519271909007,2.229551644589556,,
490,hyper1-515,True,True,False,False,False,2,1,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-14 04:32:08,0.32,0.08,0.6,nll,all,50,30,50,2,1.0,0.0,True,True,2708,7,0.6755131290247111,0.6399922236353318,1.3276444101292935,0.9963448586645818,0.9959751189788536,0.014490440336048405,0.5995398243977088,0.5846701192206616,1.46423629357594,0.5343685287482478,0.522474034628798,1.7643896182846286,,False
491,hyper1-612,True,True,False,False,False,2,1,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-14 05:16:13,0.32,0.08,0.6,nll,all,50,30,100,2,1.0,0.2,False,False,1433,7,0.7468491272845628,0.7128021252200774,1.049779420636073,0.8837874070828896,0.8718195348809774,0.46106417546398104,0.6968740555350035,0.6618990689461149,1.1775618069472782,0.6833376726240824,0.6585219403640085,1.2478061473625268,,False
492,hyper1-895,True,True,False,False,False,3,1,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-14 07:17:31,0.32,0.08,0.6,nll,all,50,30,100,3,3.0,0.2,True,True,2708,7,0.6839286511813764,0.6545487182306152,1.26283786734759,0.926955032183986,0.9153901246311524,0.3053270687453078,0.6731415691686219,0.6737086669202789,1.160617387074753,0.572467924166224,0.5514651623929195,1.6304728192135425,,False
493,hyper1-997,True,True,False,False,False,4,1,0.01,0.0,GAT_Net_fast,node_id,False,2020-01-14 07:55:18,0.32,0.08,0.6,nll,all,50,30,50,2,1.0,0.2,False,True,2708,7,0.7096718371550015,0.6755648506799004,1.19276941846806,0.9743533489477805,0.9642953366401203,0.12870179918646052,0.6060072422457463,0.6292335830094017,1.3055240630033036,0.5961846376012409,0.5753504135220517,1.5623735925782127,,False
494,hyper1-455,True,True,False,False,False,2,1,0.01,0.0,GAT_Net_fast,keywords,False,2020-01-14 04:13:27,0.32,0.08,0.6,nll,all,50,30,100,2,1.0,0.2,True,True,1433,7,0.7593232305284386,0.7278112179186451,0.9963061557080479,0.9912584682236557,0.9885161530972644,0.04134346612261908,0.6390554331763117,0.616538636616053,1.338610701832283,0.6620689661598439,0.647488147326577,1.2904195501910816,,False
495,hyper1-607,True,True,False,False,False,2,1,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-14 05:14:35,0.32,0.08,0.6,nll,all,50,30,50,3,3.0,0.2,True,True,1433,7,0.7792038517415293,0.739571729182475,0.9497263934050206,0.9512767538460112,0.9460022682906203,0.1944071742236786,0.6887768254297068,0.6546677466749078,1.2022036123026365,0.7040713763927591,0.672792357832188,1.1907685304645135,,False
496,hyper1-376,True,True,False,False,False,2,1,0.01,0.0,GAT_Net_fast,node_id,False,2020-01-14 03:37:52,0.32,0.08,0.6,nll,all,50,30,50,3,3.0,0.0,False,False,2708,7,0.629529924506857,0.6141327979946831,1.4019693352031228,0.7679830230470175,0.7595819483737913,0.8544132274302338,0.6273946820418637,0.6190863309616776,1.3189528915009086,0.5588706134928714,0.5577978983534883,1.6108553056381298,,False
497,hyper1-62,True,True,False,False,False,1,1,0.01,0.0,GAT_Net_fast,node_id,False,2020-01-14 01:30:33,0.32,0.08,0.6,nll,all,50,30,50,3,3.0,0.2,True,False,2708,7,0.7093368948888579,0.6686866583728028,1.2166312685901581,0.9761316592129271,0.9656693643676612,0.12364470511253467,0.7045477580785102,0.6725754638669393,1.1187814804547118,0.5805265896087501,0.5585467059482209,1.6257063860785776,,False
498,hyper1-774,True,True,False,False,False,3,1,0.01,0.0,GAT_Net_fast,keywords,False,2020-01-14 06:22:38,0.32,0.08,0.6,nll,all,50,30,100,2,1.0,0.2,True,False,1433,7,0.7694511969807185,0.732210056993611,0.9764040028533505,0.9388643476854529,0.9265518719012966,0.2652469907823214,0.7596194211734664,0.742602565621249,0.9135016168344601,0.689714465693512,0.6524884681128024,1.2579701596682118,,False
499,hyper1-1239,True,True,False,False,False,4,1,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-14 09:35:28,0.32,0.08,0.6,nll,all,50,30,50,3,1.0,0.2,True,True,1433,7,0.7569092391499606,0.7113061089634585,1.0594588102751903,0.8376549220466982,0.7988268875686554,0.7269552706062994,0.7228435204658473,0.7287823505918365,0.9522061227477501,0.7184879772598867,0.6780136932845,1.1795244179435347,,False
500,hyper1-855,True,True,False,False,False,3,1,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-14 06:54:04,0.32,0.08,0.6,nll,all,50,30,50,3,1.0,0.2,True,True,2708,7,0.7048261485824311,0.6753384238294273,1.1915773690963878,0.9793259067422543,0.9741761465065032,0.09338017635079332,0.7123435146837349,0.7104674724360155,1.0291937161613949,0.5797622566506277,0.5614803285451693,1.60388329005424,,False
501,hyper1-269,True,True,False,False,False,1,1,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-14 02:58:57,0.32,0.08,0.6,nll,all,50,30,50,2,3.0,0.2,False,True,1433,7,0.7513327677493467,0.7212587721481892,1.0215054657165759,0.9773166914889958,0.9698788316533834,0.10847965545120886,0.7344119666979695,0.6935583547565798,1.0375316999538402,0.6432130067936418,0.6345960420236108,1.3427823132316425,,False
502,hyper1-815,True,True,False,False,False,3,1,0.01,0.01,GCN_Net,node_id,False,2020-01-14 06:42:26,0.32,0.08,0.6,nll,all,50,30,100,2,,0.2,True,,2708,7,0.6184002533664913,0.5941721764213933,1.4666548353321334,0.8265530009851196,0.8067357452176745,0.6944412732066283,0.544752625651084,0.5518317961216698,1.580803262387374,0.5312987345483855,0.5146205146679838,1.737104869963388,,
503,hyper1-471,True,True,False,False,False,2,1,0.01,0.0,GAT_Net_fast,keywords,False,2020-01-14 04:21:00,0.32,0.08,0.6,nll,all,50,30,100,3,1.0,0.2,True,True,1433,7,0.7647793134259394,0.7282843399025325,0.9946472630924985,0.9208858694471163,0.908578188328391,0.3298067514905525,0.7189384331501097,0.6715199848954106,1.1446729592098466,0.6915084531025713,0.6653337657436429,1.2242073149807835,,False
