,name,save_logs,save_predictions,save_models,zip_models,verbatim,permutation,repetition,learning_rate,weight_decay,net,feature,skip,datetime,split_percentage_train,split_percentage_val,split_percentage_test,loss_function_type,loss_function_nclasses,early_stopping_min,early_stopping_wait,hidden_size,hidden_layers,num_heads,dropout,batchnorm,residual,in_feats,out_feats,Rand-Index_All ,Mutual Information_All ,Variation of Information_All ,Rand-Index_Train,Mutual Information_Train,Variation of Information_Train,Rand-Index_Val,Mutual Information_Val,Variation of Information_Val,Rand-Index_Test,Mutual Information_Test,Variation of Information_Test
24,compare_residual-22,True,True,False,False,False,6,2,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:47:56,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.779079419110222,0.737850601440473,0.960201395985822,0.965444096220397,0.9504837445489841,0.17718952194255388,0.7138490970847254,0.7004812603006209,1.0331371236552602,0.6947264340599111,0.6635583819594941,1.2375175867685968
25,compare_residual-33,True,True,False,False,False,9,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:55:53,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,False,1433,7,0.7635831371882646,0.7250745764085984,1.0030083460592687,0.9717751121273146,0.9661412710126047,0.1229747354163897,0.6692618388047015,0.6697571894125837,1.127767939016497,0.675387184873869,0.637960200615854,1.3158849344782229
26,compare_residual-6,True,True,False,False,False,2,2,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:40:09,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7548796262017043,0.7254637566282778,1.0057069213427212,0.9278619650861786,0.9201649222829134,0.28785046564135586,0.6844431884135096,0.6402138626272909,1.2605563833262692,0.6770652928696063,0.662183222422189,1.2366618902513329
27,compare_residual-30,True,True,False,False,False,8,2,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:53:15,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7603070662329962,0.7306107922298,0.9889456595839983,0.9980016573501409,0.9964021921175218,0.013107975522522075,0.7337045378033719,0.7256807142902226,0.941408363365793,0.6510350852163784,0.6332110973976942,1.3446465913918342
28,compare_residual-27,True,True,False,False,False,7,2,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:50:41,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,False,1433,7,0.7562388097530208,0.721197636384894,1.0184574216533528,0.9203931190107468,0.9094147393461859,0.32703610730144117,0.7222939882049999,0.6997940544086997,1.021166144773233,0.6820901479269419,0.651527647631253,1.2719752243882776
29,compare_residual-26,True,True,False,False,False,7,2,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:50:48,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7799899757124478,0.7438202267910657,0.9374516329936635,0.9740501867859265,0.9676196698926999,0.11698741366447685,0.7352602326227502,0.6916181650315134,1.0499767918701468,0.6933894290719964,0.6657604154876581,1.2226551666934173
30,compare_residual-8,True,True,False,False,False,3,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:42:45,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7724449429127087,0.7316863721085701,0.979315333253473,0.990922621246823,0.9884650842075193,0.041703312710622775,0.7556993401157563,0.7559495030801894,0.8653341234566887,0.673853573852658,0.6326674295140177,1.3313055986531706
31,compare_residual-17,True,True,False,False,False,5,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:45:50,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,False,1433,7,0.7655854986000147,0.726310414911263,1.004059635094006,0.9176688566898261,0.9077574932019343,0.33666344491291866,0.75642049695911,0.7327665436543709,0.9204613184468435,0.6930358022188305,0.6554043688221021,1.2587132081776415
32,compare_residual-15,True,True,False,False,False,4,2,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:43:49,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,False,1433,7,0.73496811088506,0.7023847029473905,1.0918172063159806,0.818943266342019,0.7817457237053757,0.7898253772003834,0.7325734049739463,0.7625396655068448,0.8373366418045087,0.6913117616599073,0.6613327854905694,1.2389230139623484
33,compare_residual-4,True,True,False,False,False,2,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:39:42,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7647892444444992,0.7308827862827368,0.9855610510249511,0.9746016821938112,0.9686261493968537,0.11304304998876846,0.6674697582320797,0.6318388473145834,1.2882232008594587,0.6735316981282754,0.655043434171361,1.2628097361834856
34,compare_residual-34,True,True,False,False,False,9,2,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:55:14,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7731614847916434,0.7339971473851805,0.9729805923321417,0.9831004700333381,0.9813536314993653,0.06776805602141689,0.6733916915329576,0.679850548779269,1.1046872748478869,0.6848191520719732,0.6477829877934342,1.283824535208748
35,compare_residual-9,True,True,False,False,False,3,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:41:45,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,False,1433,7,0.7234952300597279,0.6863956234733909,1.146947614164746,0.8631062805745237,0.8350806864736267,0.5955358709670144,0.7206118192421213,0.7040006772370785,1.056287643614347,0.656086423935892,0.6224630367270484,1.3727811736455702
36,compare_residual-31,True,True,False,False,False,8,2,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:53:18,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,False,1433,7,0.7612042188242639,0.7261193130657745,1.0045311943624182,0.9868265118395727,0.9791457728598121,0.07599082952382963,0.737553907739945,0.7319420429655161,0.9173328205185922,0.6572596602061651,0.6328549638259213,1.344108942733381
37,compare_residual-7,True,True,False,False,False,2,2,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:40:11,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,False,1433,7,0.7586958455761348,0.7213659012365334,1.0191741351911667,0.8969658735428656,0.8731084385042653,0.45687466517668973,0.7282077089634986,0.6848201309554861,1.1024682804339418,0.6919166604448863,0.6662387972595697,1.220152945425816
38,compare_residual-23,True,True,False,False,False,6,2,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:48:49,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,False,1433,7,0.7548353787979756,0.7140155895430377,1.04799421597999,0.9470831924849608,0.9312924337741592,0.24571963931662388,0.6681339036442342,0.6444673428874854,1.2282953186196224,0.6710087306562783,0.64232820947033,1.3167611173511102
39,compare_residual-20,True,True,False,False,False,6,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 15:48:38,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.770351123072799,0.7273749265443809,0.9975830616864587,0.9952014820527934,0.9926024730416645,0.026465508876788224,0.6787658933234182,0.6506467047639821,1.2042539772601084,0.6736612155028329,0.6422973147029823,1.3141168964759027
