,name,save_logs,save_predictions,save_models,zip_models,verbatim,permutation,repetition,learning_rate,weight_decay,net,feature,skip,datetime,split_percentage_train,split_percentage_val,split_percentage_test,loss_function_type,loss_function_nclasses,early_stopping_min,early_stopping_wait,hidden_size,hidden_layers,num_heads,dropout,batchnorm,residual,in_feats,out_feats,Rand-Index_All ,Mutual Information_All ,Variation of Information_All ,Rand-Index_Train,Mutual Information_Train,Variation of Information_Train,Rand-Index_Val,Mutual Information_Val,Variation of Information_Val,Rand-Index_Test,Mutual Information_Test,Variation of Information_Test
10,compare_loss-10,True,True,False,False,False,3,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:49:14,0.32,0.08,0.6,inv,7,100,80,50,2,1,0.2,True,True,1433,7,0.7780769841317594,0.7343589100748243,0.9695411675096337,0.9944414491628453,0.9924282607100141,0.027368416657853167,0.7416384614772367,0.7392449240602265,0.923196449139756,0.6821498533878619,0.6371219157950977,1.315399024609396
11,compare_loss-22,True,True,False,False,False,6,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 17:00:02,0.32,0.08,0.6,inv,7,100,80,50,2,1,0.2,True,True,1433,7,0.7825330898400815,0.7365533768012212,0.9647662997884314,0.967695386862001,0.9476081785049973,0.18755329269275833,0.6834820211718624,0.6687445784611108,1.1418065439964398,0.7025571481157589,0.6626104767929913,1.2409604922464084
12,compare_loss-19,True,True,False,False,False,5,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:50:49,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7753555002014418,0.739963184396028,0.952884406607553,0.9743430608488981,0.9701646729641831,0.1087344669571908,0.7695141395113703,0.7411305615215964,0.8892670647675951,0.6808078882724821,0.6515423997894011,1.2716617031674677
13,compare_loss-14,True,True,False,False,False,4,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:48:15,0.32,0.08,0.6,inv,7,100,80,50,2,1,0.2,True,True,1433,7,0.792431503482358,0.7478430312279626,0.923998366781706,0.9361673719567696,0.9105599198033085,0.322710071591477,0.7436623110736437,0.7542121728201903,0.8611504527874119,0.7248406777408183,0.6856270585378369,1.1503003439128068
14,compare_loss-16,True,True,False,False,False,5,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:54:36,0.32,0.08,0.6,inv,5,100,80,50,2,1,0.2,True,True,1433,7,0.6081010729450927,0.5691850781974681,1.5552130655451464,0.7439471647071924,0.7243450887927033,0.9748518655841725,0.6068181179560795,0.5723562205798369,1.4543483642621982,0.5393179736012748,0.5133004968217705,1.7603286135744887
15,compare_loss-27,True,True,False,False,False,7,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 17:01:39,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7792619853266355,0.7389632999282238,0.9546308403123023,0.9862223301742723,0.981835671598835,0.06565016384590816,0.7210475732820759,0.6739223506503704,1.1107420410233053,0.6880625646720664,0.6555095056714785,1.2587914891518532
16,compare_loss-15,True,True,False,False,False,4,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:45:11,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7832252533263963,0.7474372026257766,0.9245236019202201,0.953049883611057,0.9439524810176873,0.20169374753340374,0.7356724296240564,0.7549025488421762,0.8614667907256122,0.7040276511501525,0.6729311736879432,1.1960683962096148
17,compare_loss-32,True,True,False,False,False,9,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 17:16:11,0.32,0.08,0.6,inv,5,100,80,50,2,1,0.2,True,True,1433,7,0.6592545940341986,0.6069227000975058,1.3839981600231321,0.8234696762278196,0.7924949984943843,0.7246151827806768,0.6149883142604232,0.6107748654953498,1.297106621523458,0.5848993653238024,0.5327589991715277,1.6364530968326811
18,compare_loss-9,True,True,False,False,False,3,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:44:02,0.32,0.08,0.6,inv,6,100,80,50,2,1,0.2,True,True,1433,7,0.7253455588530703,0.6862211565844986,1.1279741955802858,0.8972997100967516,0.8841519677934554,0.4114573402275581,0.7151640142105438,0.696032516617955,1.0617444480124245,0.6446002933401389,0.6114948652333808,1.3878927582436527
19,compare_loss-24,True,True,False,False,False,7,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 17:03:16,0.32,0.08,0.6,inv,5,100,80,50,2,1,0.2,True,True,1433,7,0.5974679367880141,0.5485122284358406,1.598770352056891,0.7197473105991887,0.6890105868056348,1.0895757332802183,0.6143704437978249,0.5216795804315841,1.551064786487548,0.5365850112329879,0.49422892672892543,1.7905677185785103
20,compare_loss-6,True,True,False,False,False,2,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:39:30,0.32,0.08,0.6,inv,7,100,80,50,2,1,0.2,True,True,1433,7,0.7594908048964379,0.7245839318030105,1.010714196763837,0.9644961464717614,0.9578578211967459,0.15200747820682547,0.6571060193603462,0.6130413350662328,1.360001952616794,0.6715243227920337,0.6509813055000117,1.2808114377468103
21,compare_loss-37,True,True,False,False,False,10,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 17:20:00,0.32,0.08,0.6,inv,6,100,80,50,2,1,0.2,True,True,1433,7,0.6782851284354433,0.6269385851064074,1.3290250430715083,0.8841978464857125,0.8648901672659017,0.4735620653262518,0.5601227267324379,0.5409866625522205,1.575688461460047,0.5975271714654511,0.5505861491241069,1.5943178870636643
22,compare_loss-35,True,True,False,False,False,9,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 17:12:28,0.32,0.08,0.6,nll,all,100,80,50,2,1,0.2,True,True,1433,7,0.7764891335202695,0.7381596272593038,0.9567113137016485,0.9791787653121864,0.9773013025654759,0.08250139580141891,0.6815606686510135,0.6853026949303445,1.084803992425523,0.6904502963008274,0.6528449407038605,1.2630998496746093
23,compare_loss-17,True,True,False,False,False,5,1,0.01,0,GAT_Net_fast,keywords,False,2020-01-19 16:55:45,0.32,0.08,0.6,inv,6,100,80,50,2,1,0.2,True,True,1433,7,0.7205355787786718,0.6746725595328775,1.1620075292633993,0.8623697755785149,0.8352254897141689,0.5842801125810668,0.7305394936544973,0.6873782051410284,1.051917306997208,0.6501708840506877,0.6113370506643782,1.3845574986552558
