,name,save_logs,save_predictions,save_models,zip_models,verbatim,permutation,repetition,learning_rate,weight_decay,net,feature,skip,datetime,split_percentage_train,split_percentage_val,split_percentage_test,loss_function_type,loss_function_nclasses,early_stopping_min,early_stopping_wait,hidden_size,hidden_layers,num_heads,dropout,batchnorm,residual,in_feats,out_feats,Rand-Index_All ,Mutual Information_All ,Variation of Information_All ,Rand-Index_Train,Mutual Information_Train,Variation of Information_Train,Rand-Index_Val,Mutual Information_Val,Variation of Information_Val,Rand-Index_Test,Mutual Information_Test,Variation of Information_Test,radius
345,opti_keywords_gcn-93,True,True,True,True,False,5,4,0.005,0.01,GCN_Net,keywords,False,2020-01-23 14:32:15,0.16,0.04,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.6709639325202149,0.6462206726276485,1.2747222906805717,0.8856111369597351,0.8753019348771861,0.44145800392933676,0.5504281138205565,0.6008692031562283,1.3183336170201052,0.6362425009158647,0.6163154169379722,1.373123888559736,
346,opti_keywords-173,True,True,True,True,False,3,3,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 19:35:06,0.32,0.08,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.6397468205709533,0.6414935434155504,1.2753650582667144,0.7868303295926595,0.8040812086217592,0.6948056397136471,0.5850809025285745,0.6092001105209309,1.3465384447822366,0.5762236368060922,0.5763232814744629,1.491929472904149,2.0
348,opti_keywords-560,True,True,True,True,False,10,2,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 23:14:24,0.08,0.02,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.5118140970635053,0.5434731243525385,1.6052149397541946,0.965093096080084,0.9631465986312522,0.12724668778502712,0.46440225972841154,0.6110425759763981,1.1493723216412208,0.47410984773783443,0.5180704301679947,1.6656806910828361,2.0
350,opti_keywords_gcn-144,True,True,True,True,False,8,5,0.005,0.01,GCN_Net,keywords,False,2020-01-23 14:49:12,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.4095498511258836,0.4271893644353429,1.942788195644258,0.6992623868887994,0.6786491562094437,0.9955200525511834,0.34732510288065843,0.43774531418126744,1.3027333732530613,0.3909523493313362,0.4143875576898522,1.9793251694851153,
351,opti_keywords-248,True,True,True,True,False,5,3,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 20:16:07,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.39456762155626063,0.4635988414633905,1.8504322583013773,0.9789108319600144,0.9794934911186088,0.06494000394672739,0.36269881618127675,0.4019227132408298,1.3118307095083344,0.3803187917728797,0.4542914022213742,1.86836407520351,2.0
355,opti_keywords_gcn-82,True,True,True,True,False,5,3,0.005,0.01,GCN_Net,keywords,False,2020-01-23 14:27:49,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.4487479371459459,0.458768049805585,1.8683416393700802,0.8756536780296331,0.8829427490480519,0.3634138676148475,0.43774574049803405,0.46926020674227203,1.2091736684204926,0.4296075783879973,0.445600387851994,1.900039716482881,
356,opti_keywords-415,True,True,True,True,False,7,4,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 21:48:22,0.32,0.08,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.7558405734535302,0.7175526771539634,1.0323161528457971,0.903857392822063,0.8876043507594085,0.4060291529528577,0.7443633779687461,0.7030252097953417,1.005226996660236,0.6850492442354577,0.6515267734228217,1.2727131931315818,
357,opti_keywords-241,True,True,True,True,False,5,1,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 20:13:12,0.04,0.01,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.5011298472860966,0.4955012400375089,1.8411259149775496,0.9850785050137606,0.9794258412822769,0.06534386874646891,0.36877181847032686,0.45073501829601953,1.2416198594849281,0.4750831361191851,0.47970014457553783,1.888520545772672,
359,opti_keywords_gcn-42,True,True,True,True,False,3,3,0.005,0.01,GCN_Net,keywords,False,2020-01-23 14:12:28,0.04,0.01,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.41932222369311944,0.4271854335039742,1.903589828833045,0.8575284598398726,0.8609916938395107,0.41664309825437984,0.486749594375338,0.523280446030029,0.9898357721568374,0.40093452666338814,0.40806289964892295,1.956681741532562,
360,opti_keywords-347,True,True,True,True,False,6,1,0.01,0.01,LGNN_Net,keywords,False,2020-01-19 21:12:06,0.32,0.08,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.6243167602122371,0.6273264169785513,1.323008734833699,0.7797802153411139,0.7806879205516077,0.7647603903473716,0.5660522503832163,0.5836570644142618,1.3932143303626061,0.5553840512302154,0.5724170201900638,1.5202823608084213,2.0
363,opti_keywords_gcn-116,True,True,True,True,False,6,2,0.005,0.01,GCN_Net,keywords,False,2020-01-23 14:41:06,0.32,0.08,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.6862594212982749,0.6604967084653918,1.222283166977867,0.7785865502177999,0.7498185023746846,0.8801096638502681,0.6826437217404873,0.6680605467406977,1.118285707165707,0.6393739486392619,0.6254070695614016,1.356044075137354,
364,opti_keywords-181,True,True,True,True,False,4,1,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 19:40:40,0.04,0.01,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.5200757213245423,0.5163760570738759,1.7888814611777768,1.0,1.0,0.0,0.5406618059450364,0.5522671552518617,1.0016440409346599,0.5133010018228638,0.5116647596481947,1.803009181166767,
365,opti_keywords-334,True,True,True,True,False,6,2,0.01,0.01,GAT_Net_fast,keywords,False,2020-01-19 21:04:11,0.16,0.04,0.6,nll,all,150,80,50,2,1.0,0.2,True,False,1433,7,0.670481597877968,0.6343898200218089,1.3333743491263141,0.9761296490829078,0.9672026615233963,0.11560478252549489,0.6112116022576961,0.5814723957968325,1.326093034720865,0.6178802843025641,0.5927525866407537,1.49047920173975,
367,opti_keywords_gcn-14,True,True,True,True,False,1,5,0.005,0.01,GCN_Net,keywords,False,2020-01-23 14:02:17,0.16,0.04,0.6,nll,all,150,80,100,1,,0.2,False,,1433,7,0.6010399019963951,0.5983968581419638,1.4418905783642928,0.921034197077618,0.9124464967803819,0.30412508479121003,0.6079740929712952,0.6506092924912011,1.1072142663435485,0.5322626749319241,0.5441566853159807,1.634443236233405,
