,name,save_logs,save_predictions,save_models,zip_models,verbatim,permutation,repetition,learning_rate,weight_decay,net,feature,skip,datetime,split_percentage_train,split_percentage_val,split_percentage_test,loss_function_type,loss_function_nclasses,early_stopping_min,early_stopping_wait,hidden_size,hidden_layers,dropout,batchnorm,in_feats,out_feats,Rand-Index_All ,Mutual Information_All ,Variation of Information_All ,Rand-Index_Train,Mutual Information_Train,Variation of Information_Train,Rand-Index_Val,Mutual Information_Val,Variation of Information_Val,Rand-Index_Test,Mutual Information_Test,Variation of Information_Test,num_heads,residual,radius
168,opti_nodeids-475,True,True,True,True,False,8,4,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-20 20:31:07,0.32,0.08,0.6,nll,all,150,80,50,3,0.0,True,2708,7,0.7306836742579583,0.6984657404968702,1.1061465182326775,0.9772426255515052,0.9683768635200063,0.11510788665729166,0.6859853984666415,0.659322909475557,1.1735098128008334,0.6193839746981205,0.6026031519892764,1.4545714665068141,3.0,False,
169,opti_nodeids-35,True,True,True,True,False,1,2,0.01,0.01,LGNN_Net,node_id,False,2020-01-20 02:51:27,0.16,0.04,0.6,nll,all,150,80,100,2,0.2,True,2708,7,0.4438840782865959,0.44766935319362483,1.9530661248943466,0.9692549041634977,0.9646791042677992,0.1232351469170121,0.36058923186447805,0.38474401122842217,1.8735796896856025,0.3631479204298951,0.3798551716489805,2.1880343073589326,,,2.0
170,opti_nodeids-264,True,True,True,True,False,5,4,0.01,0.01,GCN_Net,node_id,False,2020-01-20 12:07:10,0.08,0.02,0.6,nll,all,150,80,100,1,0.2,False,2708,7,0.3502677908578051,0.37942106107926915,1.9971275257142005,0.7076736815364433,0.7823758212813364,0.6949800489759372,0.5406310189856003,0.5450511174095689,1.2303166397733387,0.329004397314867,0.36240760216666723,2.0382832109679,,,
171,opti_nodeids-46,True,True,True,True,False,1,1,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-20 03:15:59,0.32,0.08,0.6,nll,all,150,80,50,3,0.0,True,2708,7,0.711753183803237,0.6780061299406756,1.183288861661493,0.9937944375058079,0.9860479942409396,0.050203948950340305,0.70738078222093,0.6966247544930717,1.0348619684677987,0.5775552321840469,0.5671001992488072,1.5968016339119444,3.0,False,
172,opti_nodeids-298,True,True,True,True,False,5,5,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-20 13:38:50,0.32,0.08,0.6,nll,all,150,80,50,3,0.0,True,2708,7,0.7218724408491903,0.6917612064954992,1.124983102210856,0.9677229856591185,0.9587594059276846,0.15042991655447402,0.7144019663652212,0.6841805688459335,1.0847614317715926,0.6095900033617739,0.5907512376222732,1.4833854868173857,3.0,False,
173,opti_nodeids-150,True,True,True,True,False,3,1,0.01,0.01,GCN_Net,node_id,False,2020-01-20 07:24:03,0.16,0.04,0.6,nll,all,150,80,100,1,0.2,False,2708,7,0.588295967264931,0.5783532925245396,1.5201133394735877,0.9185990751419465,0.8991442926913621,0.361020270015981,0.5099396338930029,0.5274988559302679,1.4665183910903354,0.5460509738035311,0.5393749707709448,1.6472048988713095,,,
174,opti_nodeids-427,True,True,True,True,False,8,3,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-20 18:38:59,0.04,0.01,0.6,nll,all,150,80,50,3,0.0,True,2708,7,0.31694201990929893,0.3844303566572082,2.213650236326069,0.9718690253647949,0.9761067270733982,0.07632824105750124,0.3333333333333333,0.37632722756945963,1.419262816087003,0.28986623178049514,0.3632903573966292,2.271100698494726,3.0,False,
175,opti_nodeids-196,True,True,True,True,False,4,1,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-20 09:31:46,0.08,0.02,0.6,nll,all,150,80,50,3,0.0,True,2708,7,0.5004271232957747,0.5068950230034076,1.8181730212612486,1.0,1.0,0.0,0.6369502089625925,0.6498163662123497,0.9962040352461217,0.46789913238024716,0.47712168451214504,1.9261331666792052,3.0,False,
176,opti_nodeids-325,True,True,True,True,False,6,4,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-20 14:34:40,0.08,0.02,0.6,nll,all,150,80,50,3,0.0,True,2708,7,0.516111756645361,0.5021800203626734,1.8327691903194654,1.0,1.0,0.0,0.6315258674334271,0.6629566001417715,0.9727838097513537,0.4827539393054374,0.4756631291930431,1.9352359480204027,3.0,False,
177,opti_nodeids-506,True,True,True,True,False,9,4,0.01,0.01,LGNN_Net,node_id,False,2020-01-20 21:57:56,0.08,0.02,0.6,nll,all,150,80,100,2,0.2,True,2708,7,0.17763444965963424,0.3276879739878773,1.957326973259647,0.24447542321165053,0.45300119558516866,1.5981146201846372,0.1324852532211969,0.29638142230797593,1.6528821299205947,0.1736356402905262,0.3171088529775188,1.965666324398681,,,2.0
178,opti_nodeids-76,True,True,True,True,False,2,1,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-20 04:28:42,0.08,0.02,0.6,nll,all,150,80,50,3,0.0,True,2708,7,0.5000550848823178,0.49567214376678276,1.8575679467334532,1.0,1.0,0.0,0.6127151633297994,0.6713317140481776,0.9820961551847169,0.46625622598263444,0.4763622273601319,1.927828420344217,3.0,False,
179,opti_nodeids-575,True,True,True,True,False,10,2,0.01,0.01,LGNN_Net,node_id,False,2020-01-21 00:32:34,0.16,0.04,0.6,nll,all,150,80,100,2,0.2,True,2708,7,0.426691669958653,0.4633405409296864,1.8574947067938317,0.8429399206616944,0.8394372730668034,0.567075861194918,0.4970558300032223,0.5479248207622416,1.4513566992418534,0.35892094150581305,0.40388923594409715,2.0086883427353976,,,2.0
180,opti_nodeids-47,True,True,True,True,False,1,1,0.01,0.01,LGNN_Net,node_id,False,2020-01-20 03:17:01,0.32,0.08,0.6,nll,all,150,80,100,2,0.2,True,2708,7,0.5631212728809786,0.5644895567656449,1.552525736861499,0.9190481749704429,0.9069352365555147,0.3340241300508575,0.5087070209041342,0.5099903202420711,1.5818077691805785,0.4185933764030747,0.4449594059519919,1.9597590124691895,,,2.0
181,opti_nodeids-202,True,True,True,True,False,4,3,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-20 09:48:24,0.08,0.02,0.6,nll,all,150,80,50,3,0.0,True,2708,7,0.4677222959757519,0.4705374368346463,1.9503038507175245,1.0,1.0,0.0,0.5510259574557091,0.548598438543001,1.291595839709295,0.42459615749931534,0.43212936840830213,2.0903737416658705,3.0,False,
182,opti_nodeids-519,True,True,True,True,False,9,4,0.01,0.01,GCN_Net,node_id,False,2020-01-20 22:14:13,0.16,0.04,0.6,nll,all,150,80,100,1,0.2,False,2708,7,0.5892064007219,0.5771353387551277,1.524927297981555,0.8877961665193638,0.8826578350436864,0.42184477552120914,0.5749923456510075,0.5823970385884201,1.3320316685073257,0.5436577891638564,0.5306743732914586,1.680528272634493,,,
183,opti_nodeids-191,True,True,True,True,False,4,4,0.01,0.01,LGNN_Net,node_id,False,2020-01-20 09:19:31,0.04,0.01,0.6,nll,all,150,80,100,2,0.2,True,2708,7,0.28452724322025313,0.32733382791236176,2.2895918401911377,0.744286941860197,0.752680573359875,0.782000518304407,0.4073122384553263,0.4338098014265162,1.243627419985426,0.26832816838933293,0.3134587060349094,2.3352272462231314,,,2.0
184,opti_nodeids-389,True,True,True,True,False,7,5,0.01,0.01,LGNN_Net,node_id,False,2020-01-20 17:01:57,0.08,0.02,0.6,nll,all,150,80,100,2,0.2,True,2708,7,0.28883018245369185,0.39797154931672585,1.9539301786458338,0.4746970397263263,0.5645774406927041,1.3389149952661774,0.2989303502898669,0.36153833115050676,1.6326272970602613,0.27168242239350193,0.3851544209140796,1.977872807266022,,,2.0
185,opti_nodeids-244,True,True,True,True,False,5,2,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-20 11:28:19,0.04,0.01,0.6,nll,all,150,80,50,3,0.0,True,2708,7,0.361892821047267,0.38543123758903053,2.1983601662453687,0.9850785050137606,0.9794258412822769,0.06534386874646891,0.34702013155272077,0.35323031073307015,1.4563550070291975,0.3464661604316663,0.36846436356949763,2.2461070891956147,3.0,False,
186,opti_nodeids-391,True,True,True,True,False,7,1,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-20 17:03:23,0.16,0.04,0.6,nll,all,150,80,50,3,0.0,True,2708,7,0.5448534722248609,0.5305966557420191,1.7305853922091767,1.0,1.0,0.0,0.5720508592385439,0.622662675547394,1.2751427200534398,0.4581907169275889,0.45924885656651854,1.9964282864226544,3.0,False,
187,opti_nodeids-520,True,True,True,True,False,9,4,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-20 22:34:09,0.16,0.04,0.6,nll,all,150,80,50,3,0.0,True,2708,7,0.5465257387388961,0.5427550318858564,1.6597456049968893,0.9346733715299368,0.9371577172137685,0.225690042203615,0.617066040714222,0.6278854402738513,1.1953507074738305,0.48203380095147,0.48439526322686777,1.8619356817289738,3.0,False,
188,opti_nodeids-299,True,True,True,True,False,5,5,0.01,0.01,LGNN_Net,node_id,False,2020-01-20 13:41:08,0.32,0.08,0.6,nll,all,150,80,100,2,0.2,True,2708,7,0.5545312959453014,0.5909835336591351,1.4353449761309158,0.90918203947947,0.8882748757166954,0.40572711673998585,0.44099883759041497,0.48406830743709106,1.653839755906164,0.41983785084967407,0.485339580424593,1.752987292084065,,,2.0
189,opti_nodeids-480,True,True,True,True,False,9,1,0.01,0.01,GCN_Net,node_id,False,2020-01-20 20:49:13,0.04,0.01,0.6,nll,all,150,80,100,1,0.2,False,2708,7,0.341126710809121,0.3737299597077084,2.1047903408035094,0.8364549245266167,0.8994155939186592,0.31590513006969445,0.46182152713891444,0.46251317243750945,1.2358996360243135,0.3228358796347031,0.3559743895779177,2.146092475376097,,,
190,opti_nodeids-218,True,True,True,True,False,4,3,0.01,0.01,LGNN_Net,node_id,False,2020-01-20 10:34:06,0.16,0.04,0.6,nll,all,150,80,100,2,0.2,True,2708,7,0.45477154646418155,0.4500786383802037,1.9262703787167177,0.9808797897581079,0.9738830289867629,0.09394123991126246,0.31104830223545415,0.3403094555493656,1.995887036280566,0.38428898204993756,0.3849014376105685,2.1273446686928246,,,2.0
191,opti_nodeids-419,True,True,True,True,False,7,5,0.01,0.01,LGNN_Net,node_id,False,2020-01-20 18:14:10,0.32,0.08,0.6,nll,all,150,80,100,2,0.2,True,2708,7,0.29488667400518875,0.4265008863570183,1.8060628140913924,0.37906901232542467,0.5221946715072128,1.5245390907257892,0.3534252760961572,0.4634641975444736,1.5501674961686234,0.2497397513405665,0.3766622800324454,1.9330595673837583,,,2.0
192,opti_nodeids-1,True,True,True,True,False,1,1,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-20 01:23:31,0.04,0.01,0.6,nll,all,150,80,50,3,0.0,True,2708,7,0.36567498180630165,0.38661123966475913,2.237839970249208,1.0,1.0,0.0,0.6492063492063492,0.6714714437818328,0.7275143529467041,0.3237180092158833,0.3566945475095923,2.3473971220629406,3.0,False,
193,opti_nodeids-220,True,True,True,True,False,4,4,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-20 10:34:09,0.16,0.04,0.6,nll,all,150,80,50,3,0.0,True,2708,7,0.5698439270397406,0.5449193129724904,1.6518735044219606,0.9957764250282941,0.9936625373728258,0.022834315791158577,0.4941243953315533,0.5244769407953828,1.5124547526390621,0.4974942090162125,0.4807601016977198,1.874721221758769,3.0,False,
194,opti_nodeids-49,True,True,True,True,False,1,2,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-20 03:29:15,0.32,0.08,0.6,nll,all,150,80,50,3,0.0,True,2708,7,0.6977517609867979,0.6715222667933373,1.2100643223364567,0.8756256040054643,0.8598880309694713,0.504614694282361,0.7409891448777236,0.7286426981842813,0.9283882853834946,0.6028622906736132,0.5940862425524803,1.5021973566926308,3.0,False,
195,opti_nodeids-349,True,True,True,True,False,6,2,0.01,0.01,GAT_Net_fast,node_id,False,2020-01-20 15:32:08,0.32,0.08,0.6,nll,all,150,80,50,3,0.0,True,2708,7,0.697357997057992,0.6658500749885139,1.2203111735892285,0.9732529229646197,0.9590085662194815,0.14669435781621054,0.6289867145586565,0.6143898198048577,1.3158708085343376,0.57690863567158,0.5638936134170859,1.5994066707605232,3.0,False,
196,opti_nodeids-155,True,True,True,True,False,3,2,0.01,0.01,LGNN_Net,node_id,False,2020-01-20 07:50:39,0.16,0.04,0.6,nll,all,150,80,100,2,0.2,True,2708,7,0.34084112931972277,0.44527496491000756,1.8640362542978486,0.9716656226487584,0.9682387969607352,0.11364917290779664,0.24103150571602178,0.3927923885577866,1.6517007383428226,0.2664247474118277,0.3663560391499121,2.0741304222451307,,,2.0
197,opti_nodeids-357,True,True,True,True,False,6,5,0.01,0.01,GCN_Net,node_id,False,2020-01-20 15:47:18,0.32,0.08,0.6,nll,all,150,80,100,1,0.2,False,2708,7,0.6739075962706957,0.6494735589095936,1.2709789655430828,0.9202217720109112,0.9060917960890698,0.33589980500432004,0.6164463091816201,0.6127262194461943,1.3061794433148708,0.5690002067448833,0.5594426517087564,1.5995021457371759,,,
198,opti_nodeids-149,True,True,True,True,False,3,5,0.01,0.01,LGNN_Net,node_id,False,2020-01-20 07:32:27,0.08,0.02,0.6,nll,all,150,80,100,2,0.2,True,2708,7,0.33904451429959165,0.3535132658939766,2.2940290151159286,0.9726718526392494,0.9650812780346882,0.12050239578235988,0.48589780560930146,0.5450907296472725,1.2661204219504651,0.30268714128783036,0.3153453240410857,2.4079447010509467,,,2.0
